algo,all_dim,seed,gen_cnt,dim,delta,sec,len,cnt
deeplll05,35,1,1000,35,0.99,115.712,131,1684
deeplll05,35,1,1000,35,1.0,167.248,195,2578
deeplll05,35,2,1000,35,0.99,135.103,165,2229
deeplll05,35,2,1000,35,1.0,141.795,179,2347
deeplll05,35,3,1000,35,0.99,166.831,206,2892
deeplll05,35,3,1000,35,1.0,152.22,188,2612
deeplll05,35,4,1000,35,0.99,117.894,136,1677
deeplll05,35,4,1000,35,1.0,278.777,346,4414
deeplll05,40,0,1000,40,0.99,248.082,195,2708
deeplll05,40,0,1000,40,1.0,284.28,223,3208
deeplll05,40,1,1000,40,0.99,189.634,146,1961
deeplll05,40,1,1000,40,1.0,211.834,162,2226
deeplll05,40,2,1000,40,0.99,185.223,139,1925
deeplll05,40,2,1000,40,1.0,178.567,138,1831
deeplll05,40,3,1000,40,0.99,238.695,188,2559
deeplll05,40,3,1000,40,1.0,178.616,143,1757
deeplll05,40,4,1000,40,0.99,261.181,211,2981
deeplll05,40,4,1000,40,1.0,256.571,217,2808
deeplll10,10,0,1000,10,0.99,3.9,486,6316
deeplll10,10,0,1000,10,1.0,4.18,517,6613
deeplll10,10,1,1000,10,0.99,4.12,507,6723
deeplll10,10,1,1000,10,1.0,4.26,540,7145
deeplll10,10,2,1000,10,0.99,3.515,457,6255
deeplll10,10,2,1000,10,1.0,3.566,470,6318
deeplll10,10,3,1000,10,0.99,3.312,432,5833
deeplll10,10,3,1000,10,1.0,3.446,451,5986
deeplll10,10,4,1000,10,0.99,4.596,521,6926
deeplll10,10,4,1000,10,1.0,4.814,561,7328
deeplll10,15,0,1000,15,0.99,32.704,1241,25549
deeplll10,15,0,1000,15,1.0,34.043,1307,26299
deeplll10,15,1,1000,15,0.99,32.632,1304,26668
deeplll10,15,1,1000,15,1.0,35.126,1441,29658
deeplll10,15,2,1000,15,0.99,35.515,1305,27680
deeplll10,15,2,1000,15,1.0,36.512,1386,28323
deeplll10,15,3,1000,15,0.99,39.827,1487,30990
deeplll10,15,3,1000,15,1.0,36.991,1239,24264
deeplll10,15,4,1000,15,0.99,25.635,804,14955
deeplll10,15,4,1000,15,1.0,30.549,1163,22497
deeplll10,20,0,1000,20,0.99,99.931,956,20608
deeplll10,20,0,1000,20,1.0,133.598,1495,33886
deeplll10,20,1,1000,20,0.99,131.365,1435,32221
deeplll10,20,1,1000,20,1.0,134.576,1464,31886
deeplll10,20,2,1000,20,0.99,131.034,1323,29217
deeplll10,20,2,1000,20,1.0,149.027,1588,34413
deeplll10,20,3,1000,20,0.99,111.766,1337,31095
deeplll10,20,3,1000,20,1.0,107.831,1250,27005
deeplll10,20,4,1000,20,0.99,111.855,1219,26254
deeplll10,20,4,1000,20,1.0,132.981,1506,33090
deeplll10,25,0,1000,25,0.99,178.815,666,14447
deeplll10,25,0,1000,25,1.0,180.098,705,15243
deeplll10,25,1,1000,25,0.99,255.159,1085,26739
deeplll10,25,1,1000,25,1.0,201.671,764,16926
deeplll10,25,2,1000,25,0.99,232.665,963,23048
deeplll10,25,2,1000,25,1.0,263.462,1191,28565
deeplll10,25,3,1000,25,0.99,204.559,861,20182
deeplll10,25,3,1000,25,1.0,207.526,850,19494
deeplll10,25,4,1000,25,0.99,160.647,607,12765
deeplll10,25,4,1000,25,1.0,284.05,1234,28818
deeplll10,30,0,1000,30,0.99,255.518,514,11378
deeplll10,30,0,1000,30,1.0,409.049,868,19604
deeplll10,30,1,1000,30,0.99,269.251,593,13784
deeplll10,30,1,1000,30,1.0,358.003,828,19550
deeplll10,30,2,1000,30,0.99,382.582,820,19997
deeplll10,30,2,1000,30,1.0,296.132,568,12717
deeplll10,30,3,1000,30,0.99,303.31,592,13751
deeplll10,30,3,1000,30,1.0,415.554,817,18808
deeplll10,30,4,1000,30,0.99,318.098,662,14730
deeplll10,30,4,1000,30,1.0,375.814,780,17644
deeplll10,35,0,1000,35,0.99,391.331,426,9874
deeplll10,35,0,1000,35,1.0,456.301,498,11450
deeplll10,35,1,1000,35,0.99,462.637,554,13255
deeplll10,35,1,1000,35,1.0,492.395,567,13055
deeplll10,35,2,1000,35,0.99,479.872,612,15305
deeplll10,35,2,1000,35,1.0,361.563,442,11062
deeplll10,35,3,1000,35,0.99,413.458,489,12172
deeplll10,35,3,1000,35,1.0,459.478,551,13568
deeplll10,35,4,1000,35,0.99,465.05,545,12421
deeplll10,35,4,1000,35,1.0,525.681,614,14296
deeplll10,40,0,1000,40,0.99,522.556,387,9850
deeplll10,40,0,1000,40,1.0,543.426,407,10013
deeplll10,40,1,1000,40,0.99,431.243,317,7263
deeplll10,40,1,1000,40,1.0,501.577,365,8590
deeplll10,40,2,1000,40,0.99,573.153,424,10435
deeplll10,40,2,1000,40,1.0,658.486,492,12023
deeplll10,40,3,1000,40,0.99,416.54,297,7359
deeplll10,40,3,1000,40,1.0,585.456,445,10589
deeplll10,40,4,1000,40,0.99,518.343,397,9448
deeplll10,40,4,1000,40,1.0,565.315,450,10597
lll,10,0,1000,10,0.99,6.643,1508,2894
lll,10,0,1000,10,1.0,6.908,1556,2988
lll,10,1,1000,10,0.99,6.74,1520,2925
lll,10,1,1000,10,1.0,6.85,1559,3002
lll,10,2,1000,10,0.99,5.746,1357,2603
lll,10,2,1000,10,1.0,5.794,1383,2653
lll,10,3,1000,10,0.99,5.526,1325,2554
lll,10,3,1000,10,1.0,6.077,1371,2642
lll,10,4,1000,10,0.99,7.579,1583,3037
lll,10,4,1000,10,1.0,7.798,1627,3125
lll,15,0,1000,15,0.99,59.355,3241,6363
lll,15,0,1000,15,1.0,56.835,3402,6685
lll,15,1,1000,15,0.99,57.076,3385,6660
lll,15,1,1000,15,1.0,58.737,3473,6835
lll,15,2,1000,15,0.99,56.042,3436,6744
lll,15,2,1000,15,1.0,65.568,3609,7086
lll,15,3,1000,15,0.99,67.063,3786,7459
lll,15,3,1000,15,1.0,66.579,3948,7783
lll,15,4,1000,15,0.99,61.431,3195,6285
lll,15,4,1000,15,1.0,58.981,3282,6461
lll,20,0,1000,20,0.99,271.934,5869,11641
lll,20,0,1000,20,1.0,299.183,6356,12614
lll,20,1,1000,20,0.99,552.863,6178,12244
lll,20,1,1000,20,1.0,296.381,6462,12806
lll,20,2,1000,20,0.99,254.995,6454,12792
lll,20,2,1000,20,1.0,340.697,6831,13541
lll,20,3,1000,20,0.99,199.282,5616,11137
lll,20,3,1000,20,1.0,209.007,5948,11805
lll,20,4,1000,20,0.99,221.285,5956,11812
lll,20,4,1000,20,1.0,249.078,6348,12585
lll,25,0,1000,25,0.99,681.402,8686,17281
lll,25,0,1000,25,1.0,718.638,9174,18257
lll,25,1,1000,25,0.99,643.686,8527,16974
lll,25,1,1000,25,1.0,704.581,9508,18918
lll,25,2,1000,25,0.99,668.016,8802,17528
lll,25,2,1000,25,1.0,718.966,9541,18995
lll,25,3,1000,25,0.99,703.012,8779,17486
lll,25,3,1000,25,1.0,744.919,8942,17807
lll,25,4,1000,25,0.99,699.438,8610,17130
lll,25,4,1000,25,1.0,835.864,9329,18567
lll,30,0,1000,30,0.99,1571.946,11442,22826
lll,30,0,1000,30,1.0,1656.211,12184,24300
lll,30,1,1000,30,0.99,1506.349,11268,22464
lll,30,1,1000,30,1.0,1582.683,11868,23655
lll,30,2,1000,30,0.99,1681.469,11930,23792
lll,30,2,1000,30,1.0,1783.066,12560,25049
lll,30,3,1000,30,0.99,1705.011,11938,23791
lll,30,3,1000,30,1.0,1755.089,12236,24391
lll,30,4,1000,30,0.99,1572.524,11371,22670
lll,30,4,1000,30,1.0,1635.479,12012,23952
lll,35,0,1000,35,0.99,4005.683,15685,31319
lll,35,0,1000,35,1.0,4139.004,16961,33853
lll,35,1,1000,35,0.99,3467.239,14205,28355
lll,35,1,1000,35,1.0,3927.948,15825,31588
lll,35,2,1000,35,0.99,3391.017,13789,27530
lll,35,2,1000,35,1.0,3487.95,15055,30062
lll,35,3,1000,35,0.99,3624.164,15201,30353
lll,35,3,1000,35,1.0,3570.157,15393,30733
lll,35,4,1000,35,0.99,3392.373,14941,29814
lll,35,4,1000,35,1.0,3675.186,15645,31213
lll,40,0,1000,40,0.99,6477.466,17063,34081
lll,40,0,1000,40,1.0,7088.515,18537,37030
lll,45,0,1000,45,0.99,9592.693,19651,39274
lll,45,0,1000,45,1.0,10293.371,20659,41291
lll,45,1,1000,45,0.99,11534.303,20633,41221
lll,45,1,1000,45,1.0,11471.002,22042,44046
lll,45,2,1000,45,0.99,11048.893,20787,41532
lll,45,2,1000,45,1.0,11672.446,21882,43721
lll,45,3,1000,45,0.99,11202.723,20954,41871
lll,45,3,1000,45,1.0,11862.843,22148,44264
lll,45,4,1000,45,0.99,10649.636,19440,38855
lll,45,4,1000,45,1.0,10954.346,21407,42787
potlll,10,0,1000,10,0.99,3.862,485,1923
potlll,10,0,1000,10,1.0,4.294,504,1969
potlll,10,1,1000,10,0.99,3.829,502,2001
potlll,10,1,1000,10,1.0,3.9,513,2022
potlll,10,2,1000,10,0.99,3.314,419,1713
potlll,10,2,1000,10,1.0,3.268,436,1742
potlll,10,3,1000,10,0.99,3.248,428,1707
potlll,10,3,1000,10,1.0,3.385,433,1724
