algo,all_dim,seed,dim,delta,sec,len,cnt
deeplll10,40,0,15,1.0,149.252,1964,33053
deeplll10,40,0,20,0.99,615.837,2287,42960
deeplll10,40,0,20,1.0,381.129,2414,44230
deeplll10,40,0,25,0.99,1158.727,2623,51867
deeplll10,40,0,25,1.0,923.315,2414,44280
deeplll10,40,0,30,0.99,1027.713,2623,51917
deeplll10,40,0,30,1.0,880.569,2414,44330
deeplll10,40,0,35,0.99,1363.437,2623,51967
deeplll10,40,0,35,1.0,1064.941,2414,44380
deeplll10,40,0,40,0.99,1710.539,2623,52017
deeplll10,40,0,40,1.0,1337.022,2414,44430
deeplll10,40,1,10,0.99,15.167,778,7123
deeplll10,40,1,10,1.0,15.515,801,7265
deeplll10,40,1,15,0.99,108.114,1514,23410
deeplll10,40,1,15,1.0,115.522,1607,24548
deeplll10,40,1,20,0.99,348.466,2147,38460
deeplll10,40,1,20,1.0,399.608,2352,42608
deeplll10,40,1,25,0.99,522.139,2147,38510
deeplll10,40,1,25,1.0,834.212,2789,54213
deeplll10,40,1,30,0.99,781.912,2147,38560
deeplll10,40,1,30,1.0,1182.502,2789,54263
deeplll10,40,1,35,0.99,968.348,2147,38610
deeplll10,40,1,35,1.0,1573.162,2789,54313
deeplll10,40,1,40,0.99,1191.098,2147,38660
deeplll10,40,1,40,1.0,1979.752,2789,54363
deeplll10,40,2,10,0.99,15.916,771,7380
deeplll10,40,2,10,1.0,19.54,790,7524
deeplll10,40,2,15,0.99,141.629,1839,30791
deeplll10,40,2,15,1.0,139.519,1860,30327
deeplll10,40,2,20,0.99,406.542,2429,45318
deeplll10,40,2,20,1.0,274.044,1942,32089
deeplll10,40,2,25,0.99,633.409,2429,45368
deeplll10,40,2,25,1.0,408.128,1942,32139
deeplll10,40,2,30,0.99,864.431,2429,45418
deeplll10,40,2,30,1.0,555.906,1942,32189
deeplll10,40,2,35,0.99,1187.8,2429,45468
deeplll10,40,2,35,1.0,738.163,1942,32239
deeplll10,40,2,40,0.99,1439.124,2429,45518
deeplll10,40,2,40,1.0,938.499,1942,32289
deeplll10,40,3,10,0.99,15.614,774,7610
deeplll10,40,3,10,1.0,15.856,787,7715
deeplll10,40,3,15,0.99,107.088,1495,23490
deeplll10,40,3,15,1.0,92.224,1379,20161
deeplll10,40,3,20,0.99,416.589,2433,47249
deeplll10,40,3,20,1.0,414.243,2469,46075
deeplll10,40,3,25,0.99,695.42,2524,49783
deeplll10,40,3,25,1.0,640.458,2469,46125
deeplll10,40,3,30,0.99,967.493,2524,49833
deeplll10,40,3,30,1.0,883.011,2469,46175
deeplll10,40,3,35,0.99,1276.39,2524,49883
deeplll10,40,3,35,1.0,1153.164,2469,46225
deeplll10,40,3,40,0.99,1638.589,2524,49933
deeplll10,40,3,40,1.0,1494.951,2469,46275
deeplll10,40,4,10,0.99,15.451,767,7392
deeplll10,40,4,10,1.0,15.869,800,7624
deeplll10,40,4,15,0.99,117.202,1598,25469
deeplll10,40,4,15,1.0,125.245,1712,26950
deeplll10,40,4,20,0.99,446.403,2567,50476
deeplll10,40,4,20,1.0,349.508,2258,39706
deeplll10,40,4,25,0.99,704.549,2567,50526
deeplll10,40,4,25,1.0,522.243,2258,39756
deeplll10,40,4,30,0.99,971.924,2567,50576
deeplll10,40,4,30,1.0,710.568,2258,39806
deeplll10,40,4,35,0.99,1354.472,2567,50626
deeplll10,40,4,35,1.0,989.238,2258,39856
deeplll10,40,4,40,0.99,1718.241,2567,50676
