file_path,sec,len,cnt
results/deeplll/svpchallengedim40seed1dim20delta1.txt,860.222,4564,124505
results/deeplll/svpchallengedim40seed1dim25delta0.98999995.txt,3164.791,8135,304078
results/deeplll/svpchallengedim40seed1dim25delta1.txt,3633.428,9430,340199
results/deeplll/svpchallengedim40seed1dim30delta0.98999995.txt,10312.603,14938,701133
results/deeplll/svpchallengedim40seed1dim30delta1.txt,12274.765,18261,824815
results/deeplll/svpchallengedim40seed2dim10delta0.98999995.txt,15.646,771,7380
results/deeplll/svpchallengedim40seed2dim10delta1.txt,16.537,790,7524
results/deeplll/svpchallengedim40seed2dim15delta0.98999995.txt,128.089,1765,30762
results/deeplll/svpchallengedim40seed2dim15delta1.txt,132.203,1832,32106
results/deeplll/svpchallengedim40seed2dim20delta0.98999995.txt,797.647,4066,112167
results/deeplll/svpchallengedim40seed2dim20delta1.txt,887.883,4597,125639
results/deeplll/svpchallengedim40seed2dim25delta0.98999995.txt,3054.59,7673,281521
results/deeplll/svpchallengedim40seed2dim25delta1.txt,3402.281,8587,304518
results/deeplll/svpchallengedim40seed2dim30delta0.98999995.txt,10106.676,14273,658600
results/deeplll/svpchallengedim40seed2dim30delta1.txt,12332.797,17661,800239
results/deeplll/svpchallengedim40seed3dim10delta0.98999995.txt,16.102,774,7610
results/deeplll/svpchallengedim40seed3dim10delta1.txt,15.365,787,7715
results/deeplll/svpchallengedim40seed3dim15delta0.98999995.txt,162.697,1888,34040
results/deeplll/svpchallengedim40seed3dim15delta1.txt,174.308,1998,36132
results/deeplll/svpchallengedim40seed3dim20delta0.98999995.txt,712.352,3724,97786
results/deeplll/svpchallengedim40seed3dim20delta1.txt,799.891,4146,108598
results/deeplll/svpchallengedim40seed3dim25delta0.98999995.txt,3067.408,7738,281175
results/deeplll/svpchallengedim40seed3dim25delta1.txt,3304.08,8492,299196
results/deeplll/svpchallengedim40seed3dim30delta0.98999995.txt,10040,14535,672435
results/deeplll/svpchallengedim40seed3dim30delta1.txt,12561.841,17865,817353
results/deeplll/svpchallengedim40seed4dim10delta0.98999995.txt,16.628,767,7392
results/deeplll/svpchallengedim40seed4dim10delta1.txt,17.099,800,7624
results/deeplll/svpchallengedim40seed4dim15delta0.98999995.txt,140.891,1891,35320
results/deeplll/svpchallengedim40seed4dim15delta1.txt,153.492,2066,38569
results/deeplll/svpchallengedim40seed4dim20delta0.98999995.txt,844.688,4437,124018
results/deeplll/svpchallengedim40seed4dim20delta1.txt,904.62,4841,130124
results/deeplll/svpchallengedim40seed4dim25delta0.98999995.txt,3307.132,8587,322622
results/deeplll/svpchallengedim40seed4dim25delta1.txt,3672.962,9731,348919
results/deeplll/svpchallengedim40seed4dim30delta0.98999995.txt,10595.47,14898,687797
results/deeplll/svpchallengedim40seed4dim30delta1.txt,12448.68,17482,786589
results/deeplll05/ndim10seed0cnt1000dim10delta0.98999995.txt,4.135,579,5696
results/deeplll05/ndim10seed0cnt1000dim10delta1.txt,4.339,601,5903
results/deeplll05/ndim10seed1cnt1000dim10delta0.98999995.txt,4.223,589,5855
results/deeplll05/ndim10seed1cnt1000dim10delta1.txt,4.307,606,6010
results/deeplll05/ndim10seed2cnt1000dim10delta0.98999995.txt,3.572,522,5317
results/deeplll05/ndim10seed2cnt1000dim10delta1.txt,3.765,558,5634
results/deeplll05/ndim10seed3cnt1000dim10delta0.98999995.txt,3.473,517,5239
results/deeplll05/ndim10seed3cnt1000dim10delta1.txt,3.538,529,5317
results/deeplll05/ndim10seed4cnt1000dim10delta0.98999995.txt,4.794,610,6092
results/deeplll05/ndim10seed4cnt1000dim10delta1.txt,5.012,641,6381
results/deeplll05/ndim15seed0cnt1000dim15delta0.98999995.txt,18.952,471,5263
results/deeplll05/ndim15seed0cnt1000dim15delta1.txt,21.807,612,6902
results/deeplll05/ndim15seed1cnt1000dim15delta0.98999995.txt,21.639,674,7780
results/deeplll05/ndim15seed1cnt1000dim15delta1.txt,19.443,518,5799
results/deeplll05/ndim15seed2cnt1000dim15delta0.98999995.txt,21.301,547,6059
results/deeplll05/ndim15seed2cnt1000dim15delta1.txt,21.009,543,6033
